building_name,address,square_feet,building_age,building_type,energy_consumption_kbtu
MARRIOTT RESIDENCE INN CONVENTION CENTER,1815 TERRY AVE,236367,9,Hotel,10716050.0
SESSION APARTMENTS,2045 E MADISON ST,108169,10,Other,2589210.0
HOA MAI GARDENS,221 10TH ST S,146425,11,Other,3422406.0
TWENTY 20 MAD APARTMENTS,2020 E MADISON ST,151166,9,Other,3409675.0
A. W. LARSON BUILDING,3206 HARVARD AVE E,34618,10,Other,879128.0
HARLOW HEIGHTS,4351 15TH AVE S,43262,10,Other,700705.0
101 BROADWAY APARTMENTS,101 BROADWAY E,35990,9,Other,1413203.0
VEGA APARTMENTS,4528 44TH AVE SW,23090,9,Other,1079620.0
LAVENDER APARTMENTS,4519 18TH AVE NE,22156,10,Other,575159.0
PARLA APT (CONAM CROWN HILL APARTMENT),9176 HOLMAN RD NW,150314,11,Other,2088702.0
GENSCO,5917 4TH AVE S,34030,9,Other,811349.0
R & D INTERBAY BUILDING,3455 THORNDYKE AVE W,26800,10,Other,812556.0
PLYMOUTH ON FIRST HILL,710 CHERRY ST,43459,8,Other,2564812.0
450 ALASKAN,76 S KING ST,224714,9,Office,5025192.0
EXPEDIA - Campus,1201 AMGEN CT W,1552140,24,Other,40325472.0
AMLI Arc Apartments (MULTIFAMILY PORTION),1800 BOREN AVE,424994,9,Other,16622921.0
ARBOR BLOCKS EAST - FACEBOOK,300 8TH AVE N,365449,8,Office,11436595.0
ARBOR BLOCKS WEST - FACEBOOK,333 8TH AVE N,364133,8,Office,10663538.0
UNION STATION - SOUND TRANSIT,401 S JACKSON ST,117693,116,Office,7361350.0
GREENWOOD APARTMENT,9039 GREENWOOD AVE N,111949,8,Other,2524047.0
SENTRAL SLU,1212 HARRISON ST,200823,9,Other,4999380.0
WSECU PLAZA- SEATTLE,1121 NE 45TH ST,97512,8,Other,1310129.0
NORDIC HERITAGE MUSEUM,2655 NW MARKET ST,57735,7,Other,2986516.0
2nd and John,200 2ND AVE W,80199,8,Other,1308405.0
O2 Apartments,2401 3RD AVE,167344,8,Other,5164456.0
MCKENZIE,2202 8TH AVE,632252,10,Other,13116681.0
ATHLON MIXED USE,12544 15TH AVE NE,48121,10,Other,805879.0
JEFFERSON STATION APARTMENT,2902 BEACON AVE S,47499,9,Other,1141877.0
Legacy Capitol Hill,1525 11TH AVE,105204,8,Office,2479794.0
BROADCAST APARTMENTS,1420 E MADISON ST,80674,9,Other,2654422.0
PARKVIEW & WATERSIDE CAMPUS,601 N 34TH ST,404916,25,Office,9816558.0
The Estelle,3501 RAINIER AVE S,53298,8,Other,3015319.0
LINDEN FLAT APARTMENTS,13280 LINDEN AVE N,202172,8,Other,5552132.0
SEATTLE OPERA,363 MERCER ST,102839,8,Other,3619890.0
500 FAIRVIEW RESEARCH CENTER II,500 FAIRVIEW AVE N,167201,11,Other,20014020.0
EAST UNION APARTMENTS,2220 E UNION ST,184974,8,Other,6648600.0
MIO APTS,1319 NE 65TH ST,30820,8,Other,1131015.0
ASSEMBLY118 APTS,4200 S OTHELLO ST,381161,7,Other,7217417.0
PORT OF SEATTLE- TERMINAL 115 (CAMPUS),6000 WEST MARGINAL WAY SW,442846,76,Other,5427618.0
PORT OF SEATTLE- TERMINAL 91 (CAMPUS),2001 W GARFIELD ST,1012278,26,Other,54396428.0
Rainier Storage LLC (Phase I),918 S HORTON ST,111845,10,Warehouse,2423168.0
Rainier Worklofts & Storage LLC. (Phase II),3250 AIRPORT WAY S,136769,10,Other,2823446.0
PORT OF SEATTLE - TERMINAL 5 CAMPUS,3443 WEST MARGINAL WAY SW,279916,46,Other,4372349.0
PORT OF SEATTLE - TERMINAL 86,955 ALASKAN WAY W,64812,46,Other,31784784.0
EMBASSY SUITES- DOWNTOWN SEATTLE,255 S KING ST,680770,8,Other,33319096.0
Sitka Apartments,1255 HARRISON ST,518888,8,Other,8786057.0
Batik Apartments,123 BROADWAY,226256,8,Other,4154072.0
Cypress Apartments,120 BROADWAY,274068,7,Other,4785466.0
1111 EAST OLIVE,1111 E OLIVE ST,81509,8,Other,2686736.0
ZELLA APARTMENTS,429 2ND AVE W,112511,7,Other,2713774.0
THE DANFORTH,1425 SPRING ST,592484,8,Other,8266784.0
VITALITY ON HOWELL,1420 E HOWELL ST,24452,8,Other,861409.0
QUAIL PARK OF WEST SEATTLE  (MEMORY CARE FACILITY),4515 41ST AVE SW,47258,7,Other,3287460.0
MT BAKER VILLAGE,2914 S MCCLELLAN ST,32110,8,Other,753944.0
BRIGHT HORIZONS AT INTERBAY,1570 W ARMORY WAY,25682,7,Other,646309.0
PHINNEY FLATS,6726 GREENWOOD AVE N,26023,7,Other,997560.0
HOMEGOODS,1625 W WHEELER ST,24242,7,Retail,203367.0
